mass_A
t	x	y
0.000000000E0	4.155702075E-3	4.042550873E-1
1.666666667E-2	5.048523631E-3	4.051479089E-1
3.333333333E-2	4.561340336E-3	4.052542862E-1
5.000000000E-2	4.018672426E-3	4.051544617E-1
6.666666667E-2	3.946102863E-3	4.050721819E-1
8.333333333E-2	4.267655836E-3	4.050977930E-1
1.000000000E-1	4.411089766E-3	4.050550792E-1
1.166666667E-1	4.074177754E-3	4.050827070E-1
1.333333333E-1	4.009145327E-3	4.051270287E-1
1.500000000E-1	4.134765906E-3	4.051417463E-1
1.666666667E-1	4.413867336E-3	4.054258844E-1
1.833333333E-1	4.268356281E-3	4.053753838E-1
2.000000000E-1	4.074069380E-3	4.050452539E-1
2.166666667E-1	4.071942950E-3	4.050754948E-1
2.333333333E-1	4.185197180E-3	4.050487261E-1
2.500000000E-1	4.166444616E-3	4.050586259E-1
2.666666667E-1	4.220390859E-3	4.049620469E-1
2.833333333E-1	4.300545199E-3	4.050106357E-1
3.000000000E-1	4.099865963E-3	4.050070149E-1
3.166666667E-1	4.118971749E-3	4.050252165E-1
3.333333333E-1	4.210358384E-3	4.050575161E-1
3.500000000E-1	4.312716812E-3	4.051449598E-1
3.666666667E-1	4.249879816E-3	4.050665635E-1
3.833333333E-1	4.175993186E-3	4.050342978E-1
4.000000000E-1	4.073769498E-3	4.051699757E-1
4.166666667E-1	5.609156436E-3	4.040232757E-1
4.333333333E-1	5.946823058E-3	4.040691280E-1
4.500000000E-1	6.004961741E-3	4.040813029E-1
4.666666667E-1	5.887923829E-3	4.042005151E-1
4.833333333E-1	6.124414368E-3	4.039420731E-1
5.000000000E-1	6.506526902E-3	4.034133089E-1
5.166666667E-1	5.153078941E-3	4.041261295E-1
5.333333333E-1	5.337153824E-3	4.041660952E-1
5.500000000E-1	5.964990953E-3	4.043236236E-1
5.666666667E-1	8.293982374E-3	4.022009290E-1
5.833333333E-1	1.544720049E-2	3.970595183E-1
6.000000000E-1	2.328595959E-2	3.885739619E-1
6.166666667E-1	4.035642532E-2	3.812192303E-1
6.333333333E-1	5.830748980E-2	3.713551202E-1
6.500000000E-1	8.052445124E-2	3.631059720E-1
6.666666667E-1	1.058367320E-1	3.550033729E-1
6.833333333E-1	1.334270642E-1	3.491299044E-1
7.000000000E-1	1.623494028E-1	3.452140896E-1
7.166666667E-1	1.926378268E-1	3.472118997E-1
7.333333333E-1	2.214276884E-1	3.458192726E-1
7.500000000E-1	2.509606856E-1	3.471298553E-1
7.666666667E-1	2.789991662E-1	3.496985235E-1
7.833333333E-1	3.063269678E-1	3.531795745E-1
8.000000000E-1	3.321936619E-1	3.566394797E-1
8.166666667E-1	3.578012463E-1	3.584663137E-1
8.333333333E-1	3.832255478E-1	3.610424138E-1
8.500000000E-1	4.071133869E-1	3.604960884E-1
8.666666667E-1	4.314782449E-1	3.607694524E-1
8.833333333E-1	4.555120668E-1	3.604869490E-1
9.000000000E-1	4.798672054E-1	3.601949094E-1
9.166666667E-1	5.040957204E-1	3.586635823E-1
9.333333333E-1	5.279940838E-1	3.564443926E-1
9.500000000E-1	5.532227402E-1	3.521620490E-1
9.666666667E-1	5.783528683E-1	3.472490683E-1
9.833333333E-1	6.062105512E-1	3.396460601E-1
1.000000000E0	6.349031971E-1	3.315975810E-1
1.016666667E0	6.649215526E-1	3.237898240E-1
1.033333333E0	6.971724238E-1	3.137383740E-1
1.050000000E0	7.308678053E-1	3.030828204E-1
1.066666667E0	7.665798210E-1	2.894869894E-1
1.083333333E0	8.047729494E-1	2.747555896E-1
1.100000000E0	8.462026562E-1	2.619695460E-1
1.116666667E0	8.901772646E-1	2.519937960E-1
1.133333333E0	9.361740242E-1	2.472986814E-1
1.150000000E0	9.820000262E-1	2.497833373E-1
1.166666667E0	1.024805654E0	2.610002261E-1
1.183333333E0	1.064016453E0	2.762212064E-1
1.200000000E0	1.099424595E0	2.914128331E-1
1.216666667E0	1.132503006E0	3.044178215E-1
1.233333333E0	1.163761815E0	3.131826693E-1
1.250000000E0	1.194467738E0	3.176865062E-1
1.266666667E0	1.224547969E0	3.207367093E-1
1.283333333E0	1.253284275E0	3.211652475E-1
1.300000000E0	1.282684383E0	3.212206867E-1
1.316666667E0	1.311473885E0	3.204433005E-1
1.333333333E0	1.340767067E0	3.205387446E-1
1.350000000E0	1.368481743E0	3.213945717E-1
1.366666667E0	1.395931017E0	3.213146741E-1
1.383333333E0	1.423153570E0	3.210661525E-1
