mass_A
t	x	y
0.000000000E0	-2.525123709E-3	4.166454120E-1
1.666666667E-2	-1.119924238E-3	4.157801070E-1
3.333333333E-2	3.691673161E-3	4.114267236E-1
5.000000000E-2	1.576901289E-2	4.038284039E-1
6.666666667E-2	2.768418285E-2	3.930048343E-1
8.333333333E-2	4.633238189E-2	3.838794455E-1
1.000000000E-1	6.818738457E-2	3.747000969E-1
1.166666667E-1	9.360604187E-2	3.665716276E-1
1.333333333E-1	1.204332586E-1	3.602904986E-1
1.500000000E-1	1.493869056E-1	3.566180084E-1
1.666666667E-1	1.795580311E-1	3.547099143E-1
1.833333333E-1	2.082586670E-1	3.540225813E-1
2.000000000E-1	2.390392721E-1	3.556784032E-1
2.166666667E-1	2.671778290E-1	3.575989242E-1
2.333333333E-1	2.948580615E-1	3.603042163E-1
2.500000000E-1	3.209672376E-1	3.631693089E-1
2.666666667E-1	3.473865678E-1	3.657027181E-1
2.833333333E-1	3.731492175E-1	3.673548838E-1
3.000000000E-1	3.963077926E-1	3.676692627E-1
3.166666667E-1	4.213139325E-1	3.680375577E-1
3.333333333E-1	4.456254188E-1	3.682776206E-1
3.500000000E-1	4.689858594E-1	3.678000011E-1
3.666666667E-1	4.929225577E-1	3.666227411E-1
3.833333333E-1	5.173716139E-1	3.648413669E-1
4.000000000E-1	5.418898113E-1	3.620722466E-1
4.166666667E-1	5.674901487E-1	3.574784211E-1
4.333333333E-1	5.944394907E-1	3.518883776E-1
4.500000000E-1	6.225526728E-1	3.440407407E-1
4.666666667E-1	6.526272952E-1	3.365068204E-1
4.833333333E-1	6.833971701E-1	3.276609944E-1
5.000000000E-1	7.173076755E-1	3.174730268E-1
5.166666667E-1	7.523905894E-1	3.057767235E-1
5.333333333E-1	7.895726669E-1	2.912102644E-1
5.500000000E-1	8.294337986E-1	2.766312818E-1
5.666666667E-1	8.725161152E-1	2.648639702E-1
5.833333333E-1	9.181712673E-1	2.571774381E-1
6.000000000E-1	9.638889965E-1	2.550051375E-1
6.166666667E-1	1.009269825E0	2.603674211E-1
6.333333333E-1	1.050881929E0	2.742141654E-1
6.500000000E-1	1.088605096E0	2.895795844E-1
6.666666667E-1	1.123516165E0	3.039250746E-1
6.833333333E-1	1.155490790E0	3.156625849E-1
7.000000000E-1	1.187037308E0	3.229899653E-1
7.166666667E-1	1.217418025E0	3.265132470E-1
7.333333333E-1	1.247429184E0	3.282288291E-1
7.500000000E-1	1.277563848E0	3.292942821E-1
7.666666667E-1	1.306911060E0	3.293015232E-1
7.833333333E-1	1.334707332E0	3.284167684E-1
8.000000000E-1	1.363878807E0	3.286171813E-1
