mass_A
t	x	y
0.000000000E0	1.017693106E-2	3.994445443E-1
1.666666667E-2	2.716707261E-2	3.895148788E-1
3.333333333E-2	4.686868541E-2	3.792391620E-1
5.000000000E-2	7.160941898E-2	3.701675866E-1
6.666666667E-2	9.943986543E-2	3.626576297E-1
8.333333333E-2	1.293563932E-1	3.581419304E-1
1.000000000E-1	1.603612324E-1	3.553991994E-1
1.166666667E-1	1.915520802E-1	3.544603496E-1
1.333333333E-1	2.229407078E-1	3.546026575E-1
1.500000000E-1	2.530226299E-1	3.571466896E-1
1.666666667E-1	2.825791980E-1	3.599396443E-1
1.833333333E-1	3.098309492E-1	3.628190402E-1
2.000000000E-1	3.366772510E-1	3.656324675E-1
2.166666667E-1	3.629132302E-1	3.672924763E-1
2.333333333E-1	3.881140350E-1	3.682135123E-1
2.500000000E-1	4.137332036E-1	3.684152361E-1
2.666666667E-1	4.381341444E-1	3.681421128E-1
2.833333333E-1	4.631641148E-1	3.682884115E-1
3.000000000E-1	4.877502642E-1	3.674467016E-1
3.166666667E-1	5.112531764E-1	3.646794314E-1
3.333333333E-1	5.367884872E-1	3.619244420E-1
3.500000000E-1	5.644304866E-1	3.579642360E-1
3.666666667E-1	5.907092541E-1	3.518706448E-1
3.833333333E-1	6.207622627E-1	3.444420686E-1
4.000000000E-1	6.505821328E-1	3.362181963E-1
4.166666667E-1	6.824982979E-1	3.271652532E-1
4.333333333E-1	7.164225111E-1	3.170152892E-1
4.500000000E-1	7.517703620E-1	3.054001924E-1
4.666666667E-1	7.895270859E-1	2.911298416E-1
4.833333333E-1	8.310182191E-1	2.763895631E-1
5.000000000E-1	8.740480135E-1	2.644875093E-1
5.166666667E-1	9.202126765E-1	2.574418543E-1
5.333333333E-1	9.664446519E-1	2.553482249E-1
5.500000000E-1	1.013299172E0	2.612690217E-1
5.666666667E-1	1.055340652E0	2.746904868E-1
5.833333333E-1	1.093460739E0	2.904704805E-1
6.000000000E-1	1.129255538E0	3.041613903E-1
6.166666667E-1	1.162436234E0	3.160062600E-1
6.333333333E-1	1.195025796E0	3.233667848E-1
6.500000000E-1	1.225695466E0	3.269223788E-1
6.666666667E-1	1.254931742E0	3.286538956E-1
6.833333333E-1	1.284442082E0	3.298569739E-1
7.000000000E-1	1.312332989E0	3.289740638E-1
7.166666667E-1	1.340404538E0	3.281467637E-1
7.333333333E-1	1.368022370E0	3.289103462E-1
