mass_A
t	x	y
0.000000000E0	1.057692308E-2	4.076923077E-1
3.333333333E-2	1.033358916E-2	4.075161418E-1
6.666666667E-2	1.057692308E-2	4.038461538E-1
1.000000000E-1	1.034836548E-2	4.041219688E-1
1.333333333E-1	1.228586720E-2	4.022239367E-1
1.666666667E-1	1.743079981E-2	3.977953051E-1
2.000000000E-1	2.678345294E-2	3.902134657E-1
2.333333333E-1	3.870989066E-2	3.818867095E-1
2.666666667E-1	5.657153033E-2	3.734311686E-1
3.000000000E-1	7.616941297E-2	3.622850590E-1
3.333333333E-1	9.722825130E-2	3.572015737E-1
3.666666667E-1	1.251137229E-1	3.515508268E-1
4.000000000E-1	1.516483301E-1	3.472320338E-1
4.333333333E-1	1.833501406E-1	3.494914520E-1
4.666666667E-1	2.110888529E-1	3.439816093E-1
5.000000000E-1	2.402846816E-1	3.468267102E-1
5.333333333E-1	2.684579712E-1	3.485182191E-1
5.666666667E-1	2.954383075E-1	3.524355912E-1
6.000000000E-1	3.220233468E-1	3.545160794E-1
6.333333333E-1	3.466196156E-1	3.563416510E-1
6.666666667E-1	3.706348779E-1	3.602956243E-1
7.000000000E-1	3.943587767E-1	3.599037960E-1
7.333333333E-1	4.174950860E-1	3.589504654E-1
7.666666667E-1	4.406389310E-1	3.593504083E-1
8.000000000E-1	4.635701548E-1	3.578931153E-1
8.333333333E-1	4.866995273E-1	3.571151665E-1
8.666666667E-1	5.098520664E-1	3.552326105E-1
9.000000000E-1	5.339263657E-1	3.519078984E-1
9.333333333E-1	5.578494003E-1	3.480017042E-1
9.666666667E-1	5.855180304E-1	3.455291817E-1
1.000000000E0	6.110678011E-1	3.350935571E-1
1.033333333E0	6.401050329E-1	3.266588112E-1
1.066666667E0	6.704303701E-1	3.185931449E-1
1.100000000E0	7.029472635E-1	3.085594168E-1
1.133333333E0	7.369265346E-1	2.975242367E-1
1.166666667E0	7.746538053E-1	2.878384259E-1
1.200000000E0	8.115649976E-1	2.696304109E-1
1.233333333E0	8.539696996E-1	2.586208720E-1
1.266666667E0	8.982194407E-1	2.511599376E-1
1.300000000E0	9.428236839E-1	2.485072081E-1
1.333333333E0	9.884547218E-1	2.548213328E-1
1.366666667E0	1.028759079E0	2.680964493E-1
1.400000000E0	1.065063285E0	2.829532568E-1
1.433333333E0	1.099535703E0	2.964045077E-1
1.466666667E0	1.131396099E0	3.079539500E-1
1.500000000E0	1.162362307E0	3.148490799E-1
1.533333333E0	1.191756925E0	3.191616767E-1
1.566666667E0	1.220701929E0	3.210170798E-1
1.600000000E0	1.249384247E0	3.216657500E-1
1.633333333E0	1.277603898E0	3.212011793E-1
1.666666667E0	1.305357899E0	3.213585764E-1
1.700000000E0	1.332669608E0	3.214227683E-1
1.733333333E0	1.361012122E0	3.224035327E-1
1.800000000E0	1.414289419E0	3.223106803E-1
