mass_B
t	x	y
0.000000000E0	-2.544455128E-3	4.122017308E-1
1.666666667E-2	-1.772358888E-3	4.121636951E-1
3.333333333E-2	-3.927197912E-4	4.100803048E-1
5.000000000E-2	6.379359609E-3	4.048396865E-1
6.666666667E-2	1.572413434E-2	3.924762890E-1
8.333333333E-2	2.944628203E-2	3.823708975E-1
1.000000000E-1	4.861225482E-2	3.731652054E-1
1.166666667E-1	7.186586650E-2	3.645571321E-1
1.333333333E-1	9.777914835E-2	3.574798173E-1
1.500000000E-1	1.263875282E-1	3.517025653E-1
1.666666667E-1	1.554727863E-1	3.481294565E-1
1.833333333E-1	1.867210515E-1	3.507627905E-1
2.000000000E-1	2.161830534E-1	3.482165314E-1
2.166666667E-1	2.465879655E-1	3.486291413E-1
2.333333333E-1	2.755124300E-1	3.510560163E-1
2.500000000E-1	3.039191274E-1	3.545226388E-1
2.666666667E-1	3.313969467E-1	3.571453309E-1
2.833333333E-1	3.571187464E-1	3.606463894E-1
3.000000000E-1	3.821230066E-1	3.637172529E-1
3.166666667E-1	4.073443404E-1	3.632512482E-1
3.333333333E-1	4.319738486E-1	3.632487411E-1
3.500000000E-1	4.568510824E-1	3.620722681E-1
3.666666667E-1	4.808635262E-1	3.634403385E-1
3.833333333E-1	5.047052665E-1	3.613330681E-1
4.000000000E-1	5.293870149E-1	3.590312565E-1
4.166666667E-1	5.540770395E-1	3.560201967E-1
4.333333333E-1	5.804831089E-1	3.508718516E-1
4.500000000E-1	6.071646859E-1	3.443232358E-1
4.666666667E-1	6.357216341E-1	3.369981550E-1
4.833333333E-1	6.659218502E-1	3.282371200E-1
5.000000000E-1	6.978827121E-1	3.189875346E-1
5.166666667E-1	7.316583101E-1	3.081645173E-1
5.333333333E-1	7.673188885E-1	2.960704444E-1
5.500000000E-1	8.050561450E-1	2.806226868E-1
5.666666667E-1	8.457952995E-1	2.657168625E-1
5.833333333E-1	8.896960538E-1	2.547750510E-1
6.000000000E-1	9.364303375E-1	2.479770441E-1
6.166666667E-1	9.834911822E-1	2.489153358E-1
6.333333333E-1	1.029448551E0	2.550025712E-1
6.500000000E-1	1.070936850E0	2.703129840E-1
6.666666667E-1	1.107402880E0	2.859591586E-1
6.833333333E-1	1.141881990E0	3.000603179E-1
7.000000000E-1	1.174107537E0	3.122388162E-1
7.166666667E-1	1.207705325E0	3.177601074E-1
7.333333333E-1	1.237379882E0	3.213280553E-1
7.500000000E-1	1.266718110E0	3.232194404E-1
7.666666667E-1	1.295379721E0	3.237638298E-1
7.833333333E-1	1.324142865E0	3.232097034E-1
8.000000000E-1	1.351848482E0	3.211118577E-1
8.166666667E-1	1.378981448E0	3.250547501E-1
