mass_A
t	x	y
3.333333333E-2	-2.544323351E-3	4.147247062E-1
6.666666667E-2	2.544323351E-3	4.096360595E-1
1.000000000E-1	1.024185719E-2	4.024368179E-1
1.333333333E-1	2.207120799E-2	3.944525726E-1
1.666666667E-1	3.750351301E-2	3.846378210E-1
2.000000000E-1	5.726328227E-2	3.761643998E-1
2.333333333E-1	8.063495792E-2	3.665674937E-1
2.666666667E-1	1.061781781E-1	3.591933740E-1
3.000000000E-1	1.353412579E-1	3.547166349E-1
3.333333333E-1	1.648170811E-1	3.516723883E-1
3.666666667E-1	1.958012128E-1	3.520595293E-1
4.000000000E-1	2.260746955E-1	3.524233693E-1
4.333333333E-1	2.552326530E-1	3.538791753E-1
4.666666667E-1	2.838742437E-1	3.563319540E-1
5.000000000E-1	3.111940568E-1	3.597820821E-1
5.333333333E-1	3.377360055E-1	3.627907994E-1
5.666666667E-1	3.625721344E-1	3.643861814E-1
6.000000000E-1	3.874217738E-1	3.666409303E-1
6.333333333E-1	4.110403067E-1	3.659425373E-1
6.666666667E-1	4.349126759E-1	3.662382891E-1
7.000000000E-1	4.585489722E-1	3.663782050E-1
7.333333333E-1	4.823067093E-1	3.657912532E-1
7.666666667E-1	5.053003049E-1	3.641466352E-1
8.000000000E-1	5.291276917E-1	3.619300470E-1
8.333333333E-1	5.537928087E-1	3.584629677E-1
8.666666667E-1	5.794398684E-1	3.536973951E-1
9.000000000E-1	6.060609878E-1	3.473129924E-1
9.333333333E-1	6.343271403E-1	3.399807265E-1
9.666666667E-1	6.637277296E-1	3.317274919E-1
1.000000000E0	6.959098852E-1	3.225455285E-1
1.033333333E0	7.288433689E-1	3.125812654E-1
1.066666667E0	7.643871997E-1	3.008017070E-1
1.100000000E0	8.020963010E-1	2.872905067E-1
1.133333333E0	8.420958919E-1	2.732433354E-1
1.166666667E0	8.854057520E-1	2.610884691E-1
1.200000000E0	9.301720724E-1	2.540155402E-1
1.233333333E0	9.768897824E-1	2.518164500E-1
1.266666667E0	1.022557118E0	2.581466726E-1
1.300000000E0	1.064912333E0	2.717778614E-1
1.333333333E0	1.102301904E0	2.875262632E-1
1.366666667E0	1.138063626E0	3.015176578E-1
1.400000000E0	1.170347960E0	3.131579598E-1
1.433333333E0	1.202325466E0	3.197911149E-1
1.466666667E0	1.232382941E0	3.233373862E-1
1.500000000E0	1.261583710E0	3.255644466E-1
1.533333333E0	1.289942375E0	3.262281444E-1
1.566666667E0	1.317472079E0	3.254196255E-1
1.600000000E0	1.345882661E0	3.256650445E-1
1.633333333E0	1.373274371E0	3.259350891E-1
