kule
t	x	y
0.000000000E0	-5.772378737E-4	4.187857460E-1
1.666666667E-2	1.705867149E-3	4.169592620E-1
3.333333333E-2	2.135877074E-3	4.176145807E-1
5.000000000E-2	7.117406136E-3	4.132699685E-1
6.666666667E-2	1.347826631E-2	4.054069825E-1
8.333333333E-2	2.431448604E-2	3.971722527E-1
1.000000000E-1	4.069615098E-2	3.880698882E-1
1.166666667E-1	6.094818804E-2	3.782803482E-1
1.333333333E-1	8.369706861E-2	3.696301226E-1
1.500000000E-1	1.112194063E-1	3.630442199E-1
1.666666667E-1	1.399749369E-1	3.579576255E-1
1.833333333E-1	1.702722578E-1	3.556769216E-1
2.000000000E-1	2.013037321E-1	3.556257346E-1
2.166666667E-1	2.324818111E-1	3.557177668E-1
2.333333333E-1	2.622101852E-1	3.574354568E-1
2.500000000E-1	2.910648286E-1	3.604218388E-1
2.666666667E-1	3.192333333E-1	3.624531831E-1
2.833333333E-1	3.458057492E-1	3.647403771E-1
3.000000000E-1	3.716772152E-1	3.682391085E-1
3.166666667E-1	3.974052640E-1	3.703114442E-1
3.333333333E-1	4.214397243E-1	3.703729236E-1
3.500000000E-1	4.463489586E-1	3.699933083E-1
3.666666667E-1	4.709092570E-1	3.700011837E-1
3.833333333E-1	4.949629274E-1	3.692612808E-1
4.000000000E-1	5.199191071E-1	3.675236479E-1
4.166666667E-1	5.446453352E-1	3.646560616E-1
4.333333333E-1	5.697607779E-1	3.603011916E-1
4.500000000E-1	5.971239013E-1	3.566523587E-1
4.666666667E-1	6.244705693E-1	3.475834755E-1
4.833333333E-1	6.546912419E-1	3.386880368E-1
5.000000000E-1	6.863984393E-1	3.301173022E-1
5.166666667E-1	7.195365867E-1	3.193757487E-1
5.333333333E-1	7.541701116E-1	3.084211243E-1
5.500000000E-1	7.923829795E-1	2.964989564E-1
5.666666667E-1	8.310397254E-1	2.796608002E-1
5.833333333E-1	8.738572583E-1	2.674789827E-1
6.000000000E-1	9.197009655E-1	2.585318534E-1
6.166666667E-1	9.661578666E-1	2.554271607E-1
6.333333333E-1	1.013080935E0	2.601825745E-1
6.500000000E-1	1.055453933E0	2.732436429E-1
6.666666667E-1	1.093995456E0	2.896528586E-1
6.833333333E-1	1.129777931E0	3.045187224E-1
7.000000000E-1	1.163569959E0	3.170555855E-1
7.166666667E-1	1.195415492E0	3.238699930E-1
7.333333333E-1	1.226472556E0	3.282387247E-1
7.500000000E-1	1.256674982E0	3.299333394E-1
7.666666667E-1	1.286542751E0	3.308835502E-1
7.833333333E-1	1.316858358E0	3.302804380E-1
8.000000000E-1	1.346121815E0	3.302403551E-1
8.166666667E-1	1.375384822E0	3.311388453E-1
